Well,Drug,Conc
B02,asciminib,500
B03,asciminib,158.113883008419
B04,asciminib,50
B05,asciminib,15.8113883008419
B06,asciminib,5
B07,asciminib,1.58113883008419
B08,asciminib,0.5
B09,asciminib,0.158113883008419
B10,asciminib,0.05
B11,asciminib,0
C02,asciminib,500
C03,asciminib,158.113883008419
C04,asciminib,50
C05,asciminib,15.8113883008419
C06,asciminib,5
C07,asciminib,1.58113883008419
C08,asciminib,0.5
C09,asciminib,0.158113883008419
C10,asciminib,0.05
C11,asciminib,0
D02,asciminib,500
D03,asciminib,158.113883008419
D04,asciminib,50
D05,asciminib,15.8113883008419
D06,asciminib,5
D07,asciminib,1.58113883008419
D08,asciminib,0.5
D09,asciminib,0.158113883008419
D10,asciminib,0.05
D11,asciminib,0
E02,imatinib,10000
E03,imatinib,3162.27766016838
E04,imatinib,1000
E05,imatinib,316.227766016838
E06,imatinib,100
E07,imatinib,31.6227766016838
E08,imatinib,10
E09,imatinib,3.16227766016838
E10,imatinib,1
E11,imatinib,0
F02,imatinib,10000
F03,imatinib,3162.27766016838
F04,imatinib,1000
F05,imatinib,316.227766016838
F06,imatinib,100
F07,imatinib,31.6227766016838
F08,imatinib,10
F09,imatinib,3.16227766016838
F10,imatinib,1
F11,imatinib,0
G02,imatinib,10000
G03,imatinib,3162.27766016838
G04,imatinib,1000
G05,imatinib,316.227766016838
G06,imatinib,100
G07,imatinib,31.6227766016838
G08,imatinib,10
G09,imatinib,3.16227766016838
G10,imatinib,1
G11,imatinib,0
