PlateMap,Well,Drug,Conc
A,B02,asciminib,2000
A,B03,asciminib,1000
A,B04,asciminib,125
A,B05,asciminib,50
A,B06,asciminib,30
A,B07,asciminib,15
A,B08,asciminib,7.5
A,B09,asciminib,3.75
A,B10,asciminib,1
A,B11,asciminib,0
A,C02,asciminib,2000
A,C03,asciminib,1000
A,C04,asciminib,125
A,C05,asciminib,50
A,C06,asciminib,30
A,C07,asciminib,15
A,C08,asciminib,7.5
A,C09,asciminib,3.75
A,C10,asciminib,1
A,C11,asciminib,0
A,D02,asciminib,2000
A,D03,asciminib,1000
A,D04,asciminib,125
A,D05,asciminib,50
A,D06,asciminib,30
A,D07,asciminib,15
A,D08,asciminib,7.5
A,D09,asciminib,3.75
A,D10,asciminib,1
A,D11,asciminib,0
A,E02,ponatinib,50
A,E03,ponatinib,15.8113883008419
A,E04,ponatinib,5
A,E05,ponatinib,1.58113883008419
A,E06,ponatinib,0.5
A,E07,ponatinib,0.158113883008419
A,E08,ponatinib,0.05
A,E09,ponatinib,0.0158113883008419
A,E10,ponatinib,0.005
A,E11,ponatinib,0
A,F02,ponatinib,50
A,F03,ponatinib,15.8113883008419
A,F04,ponatinib,5
A,F05,ponatinib,1.58113883008419
A,F06,ponatinib,0.5
A,F07,ponatinib,0.158113883008419
A,F08,ponatinib,0.05
A,F09,ponatinib,0.0158113883008419
A,F10,ponatinib,0.005
A,F11,ponatinib,0
A,G02,ponatinib,50
A,G03,ponatinib,15.8113883008419
A,G04,ponatinib,5
A,G05,ponatinib,1.58113883008419
A,G06,ponatinib,0.5
A,G07,ponatinib,0.158113883008419
A,G08,ponatinib,0.05
A,G09,ponatinib,0.0158113883008419
A,G10,ponatinib,0.005
A,G11,ponatinib,0
B,B02,imatinib,10000
B,B03,imatinib,3162.27766016838
B,B04,imatinib,1000
B,B05,imatinib,316.227766016838
B,B06,imatinib,100
B,B07,imatinib,31.6227766016838
B,B08,imatinib,10
B,B09,imatinib,3.16227766016838
B,B10,imatinib,1
B,B11,imatinib,0
B,C02,imatinib,10000
B,C03,imatinib,3162.27766016838
B,C04,imatinib,1000
B,C05,imatinib,316.227766016838
B,C06,imatinib,100
B,C07,imatinib,31.6227766016838
B,C08,imatinib,10
B,C09,imatinib,3.16227766016838
B,C10,imatinib,1
B,C11,imatinib,0
B,D02,imatinib,10000
B,D03,imatinib,3162.27766016838
B,D04,imatinib,1000
B,D05,imatinib,316.227766016838
B,D06,imatinib,100
B,D07,imatinib,31.6227766016838
B,D08,imatinib,10
B,D09,imatinib,3.16227766016838
B,D10,imatinib,1
B,D11,imatinib,0
B,E02,trametinib,2000
B,E03,trametinib,632.455532033676
B,E04,trametinib,200
B,E05,trametinib,63.2455532033676
B,E06,trametinib,20
B,E07,trametinib,6.32455532033676
B,E08,trametinib,2
B,E09,trametinib,0.632455532033676
B,E10,trametinib,0.2
B,E11,trametinib,0
B,F02,trametinib,2000
B,F03,trametinib,632.455532033676
B,F04,trametinib,200
B,F05,trametinib,63.2455532033676
B,F06,trametinib,20
B,F07,trametinib,6.32455532033676
B,F08,trametinib,2
B,F09,trametinib,0.632455532033676
B,F10,trametinib,0.2
B,F11,trametinib,0
B,G02,trametinib,2000
B,G03,trametinib,632.455532033676
B,G04,trametinib,200
B,G05,trametinib,63.2455532033676
B,G06,trametinib,20
B,G07,trametinib,6.32455532033676
B,G08,trametinib,2
B,G09,trametinib,0.632455532033676
B,G10,trametinib,0.2
B,G11,trametinib,0
